name,address,registration_id,mobile no,adhaar no.,DOB,Age,educational qualification,,
Milgrom,44025 W. Empire,7971,7000842753,20589937247,1962-06-01T00:00:00,19,HNC/HND,,
Adams,23025 S.W. Military Rd.,9075,7001865778,3602355370,1985-07-11T00:00:00,18,Other undergraduate,,
Wood,Ring Plaza,8959,7001625959,19246859685,1953-10-03T00:00:00,28,First degree,,
Foster,Lakeline Mall,3236,7001204172,3848754344,1969-06-20T00:00:00,33,Masters taught,,
Johnson,Town East Center,4847,7000142493,13024045248,1962-09-24T00:00:00,32,Other postgraduate research,,
Coulter,Fountains On The Lake,9536,7000286308,8263164967,1993-02-15T00:00:00,31,Other postgraduate research,,
Marlin,Southwest Outlet,2534,7001051193,18494922573,1984-10-05T00:00:00,46,First degree,,
Smith,Johnson Creek,2362,7000701601,5051722245,1969-08-04T00:00:00,37,Other postgraduate research,,
Johanson,Blue Ridge Mall,7191,7001524846,15063068230,1949-04-19T00:00:00,37,HNC/HND,,
Manin,First Colony Mall,6904,7001864400,18049616594,1987-05-26T00:00:00,60,Masters taught,,
Smith,Horizon Outlet,2327,7000471350,3222708757,1959-08-07T00:00:00,26,Other undergraduate,,
Brown,Tanger Factory,667,7002006969,17523962418,1952-09-25T00:00:00,24,Doctorate research,,
Jones,Management Mall,3614,7001419799,19744602151,1968-05-05T00:00:00,25,HNC/HND,,
Bronson,Ohms Road,6165,7002191713,19133821499,1989-11-22T00:00:00,24,HNC/HND,,
Frank,Factory Merchants,3911,7001654241,2510657718,1959-10-01T00:00:00,31,Doctorate research,,
Webster,Cedar Creek Stores,6591,7002070365,2802149544,1964-11-07T00:00:00,20,Masters taught,,
Rodriguez,Lone Star Factory,2475,7000875565,12125318114,1941-04-25T00:00:00,28,HNC/HND,,
Rubin,Sports Stores @ Tuscola,7479,7000187447,17518513780,1996-01-18T00:00:00,39,Other postgraduate research,,
Charles,City Center,9038,7001678155,9712714720,1989-08-22T00:00:00,60,First degree,,
Roberts,St. Louis Marketplace,8276,7001754084,5581728625,1956-04-14T00:00:00,20,First degree,,
Holmes,Lincoln Square,2989,7001028254,16951574687,1977-08-15T00:00:00,50,First degree,,
Martin,Kansas City Factory Outlet,5057,7002124215,11612675623,1959-07-20T00:00:00,55,First degree,,
Adamson,Fiesta Trail Shopping Center,3227,7001121249,7927208642,1950-10-05T00:00:00,31,First degree,,
Marder,Medford Outlet Center,8632,7000887461,13147430813,1984-10-02T00:00:00,39,First degree,,
Whitehead,Ward Parkway Center,4548,7001125315,23646839,1971-02-27T00:00:00,41,Masters taught,,
Patricia,"93-2501, Blackfriars Road,",684,7000852702,10201546128,1984-09-03T00:00:00,28,Masters taught,,
Sandy,"Science Park South, Birchwood",3007,7000335166,14646447396,1946-08-25T00:00:00,37,HNC/HND,,
Emily,"Phoenix Way, Cirencester",7268,7000577351,17984326198,1992-09-30T00:00:00,39,Doctorate research,,
Harold,255 Irving Street,8559,7001604038,11160489705,1955-02-22T00:00:00,43,Doctorate research,,
James,"Garamonde Drive, Wymbush",3886,7000039512,4438080418,1983-12-13T00:00:00,40,Masters taught,,
Tracy,251 The Metro Center,7159,7001103524,5086363533,1966-05-18T00:00:00,49,HNC/HND,,
Bill,Bradford,678,7000033039,5768927069,1963-08-25T00:00:00,48,Other undergraduate,,
Mary,Galashiels,467,7000382876,10679725861,1952-04-05T00:00:00,31,First degree,,
Sandy,Banbury,9955,7000149764,20828193923,1963-12-04T00:00:00,50,Masters taught,,
Emily,Bradford,2508,7002022556,16179978017,1978-04-10T00:00:00,42,Other postgraduate research,,
Frank,"Garamonde Drive, Wymbush",772,7002108620,1608349445,1944-03-03T00:00:00,28,Other postgraduate research,,
Marietta,"Butterfield Hse, 7-251 Chapel St",671,7001146803,20498030760,1958-04-18T00:00:00,35,First degree,,
Holly,Wade Road,5688,7001551667,12941925799,1964-02-03T00:00:00,42,Other postgraduate research,,
Paul,"586 Fulham Road,",9119,7000815202,12885043463,1995-03-30T00:00:00,26,HNC/HND,,
Vernon,Knaves Beech Ind.,9837,7001638780,739737415,1981-12-24T00:00:00,39,Masters taught,,
David,"Elmhurst Road, Goring",3518,7002409305,13716402091,1948-10-21T00:00:00,23,Other undergraduate,,
Jose,"New Millhouse, 2583 Milton Park",5727,7000721289,1492975159,1959-04-10T00:00:00,34,Doctorate research,,
Patricia,Wymbush,5989,7000933086,6086901912,1979-06-14T00:00:00,26,HNC/HND,,
Kenneth,Burgess Hill,1422,7001229868,12145973525,1965-01-26T00:00:00,28,HNC/HND,,
Melissa,308-3250 Casting Road,535,7002055948,4654368074,1989-11-24T00:00:00,29,Doctorate research,,
Holly,Wharfdale Road,1009,7002388962,2531497882,1974-05-08T00:00:00,27,Masters taught,,
William,7 Pioneer Business Park,7813,7001912188,16029699641,1932-03-19T00:00:00,31,HNC/HND,,
David,Unit 99a Battery Retail Pk,4697,7001482006,8463955650,2020-06-08T00:00:00,25,Other postgraduate research,,
Kelly,Ellesfield Ave,5408,7000294396,9648587970,1961-06-01T00:00:00,28,First degree,,
David,Warrington Ldc Unit 25/2,3764,7000626815,19182796733,1951-10-06T00:00:00,27,First degree,,
kim,wall Burgess Hill,7599,7762409305,121423255,1989-11-12T00:00:00,41,Masters,,
taughtjake,23025 S.W. Military Rd,7834,238472234,389475833,1900-12-23,23,undergraduate,,
